epoch,accuracy,loss,val_accuracy,val_loss
0,0.692816972732544,0.9229264855384827,0.858371913433075,0.32699787616729736
1,0.8543528914451599,0.3621920049190521,0.8808736205101013,0.3151799440383911
2,0.9111221432685852,0.23342008888721466,0.9265387058258057,0.20323128998279572
3,0.9286659955978394,0.19169649481773376,0.9225678443908691,0.2524757385253906
4,0.9463753700256348,0.14277970790863037,0.9351422786712646,0.1876690536737442
5,0.9637537002563477,0.10693646967411041,0.8881535530090332,0.31241652369499207
6,0.9718636274337769,0.08189237862825394,0.9417604207992554,0.19689185917377472
7,0.9799734950065613,0.06232358142733574,0.9450694918632507,0.23744256794452667
8,0.9832836985588074,0.049340054392814636,0.9490403532981873,0.21883440017700195
9,0.9884144067764282,0.03841010481119156,0.9503639936447144,0.2775929868221283
10,0.9904005527496338,0.031575802713632584,0.9543348550796509,0.2184230387210846
11,0.9915590882301331,0.030625374987721443,0.9497022032737732,0.2696692943572998
12,0.9920555949211121,0.02360963076353073,0.9324950575828552,0.3521887958049774
13,0.9935451745986938,0.023056546226143837,0.9536730647087097,0.30812641978263855
14,0.9948692321777344,0.018842261284589767,0.9523494243621826,0.42203810811042786
15,0.9956967830657959,0.025074435397982597,0.9543348550796509,0.38211381435394287
16,0.9958623051643372,0.013703683391213417,0.9503639936447144,0.3805601894855499
17,0.9948692321777344,0.020906507968902588,0.9549967050552368,0.4163259267807007
18,0.9948692321777344,0.019512424245476723,0.9576439261436462,0.40003445744514465
19,0.9943727254867554,0.028041381388902664,0.9510257840156555,0.5293476581573486
20,0.9960278272628784,0.019730616360902786,0.9503639936447144,0.45239531993865967
21,0.9965243339538574,0.021215815097093582,0.9463931322097778,0.49548330903053284
22,0.9955312609672546,0.024716943502426147,0.9424222111701965,0.614747166633606
23,0.9966898560523987,0.013373699970543385,0.9397749900817871,0.6577397584915161
24,0.9968553185462952,0.008916630409657955,0.9444077014923096,0.8251821994781494
25,0.9971863627433777,0.012330415658652782,0.9543348550796509,0.5207142233848572
26,0.9968553185462952,0.01631360687315464,0.9543348550796509,0.48139846324920654
27,0.9985104203224182,0.004899825435131788,0.9457312822341919,0.5696730017662048
28,0.9970208406448364,0.01889796555042267,0.9483785629272461,0.5849218964576721
29,0.9988414645195007,0.0032118861563503742,0.9536730647087097,0.6407654285430908
30,0.9956967830657959,0.02260690927505493,0.9523494243621826,0.7210013270378113
31,0.9986759424209595,0.004495696630328894,0.9510257840156555,0.8180854320526123
32,0.9968553185462952,0.020701071247458458,0.9497022032737732,0.7820258736610413
33,0.9976828694343567,0.02034098282456398,0.9530112743377686,0.8556867837905884
34,0.9965243339538574,0.023895250633358955,0.9430840611457825,0.8607749938964844
35,0.9980139136314392,0.018308889120817184,0.9490403532981873,0.7847597599029541
36,0.9993379712104797,0.004515047650784254,0.9477167725563049,1.2164950370788574
37,0.9963588118553162,0.020061150193214417,0.9450694918632507,0.9447682499885559
38,0.997848391532898,0.009004440158605576,0.9510257840156555,0.8483027219772339
39,0.9990069270133972,0.005352353677153587,0.9497022032737732,0.7930517792701721
40,0.9976828694343567,0.009908543899655342,0.9523494243621826,0.8270366787910461
41,0.9990069270133972,0.010641624219715595,0.9503639936447144,0.8934699296951294
42,0.9971863627433777,0.013772131875157356,0.9503639936447144,0.8224818706512451
43,0.9980139136314392,0.012449059635400772,0.9543348550796509,0.9523020386695862
44,0.9988414645195007,0.007021135184913874,0.9444077014923096,0.967258632183075
45,0.9960278272628784,0.020255671814084053,0.9497022032737732,0.8043292164802551
46,0.998344898223877,0.01257401891052723,0.9404367804527283,1.0121734142303467
47,0.9968553185462952,0.014975255355238914,0.9463931322097778,1.0220489501953125
48,0.9981794357299805,0.008785739541053772,0.9430840611457825,1.0983285903930664
49,0.9975174069404602,0.012698902748525143,0.9530112743377686,1.007611870765686
50,0.9988414645195007,0.014214864000678062,0.9437458515167236,1.235456943511963
51,0.997848391532898,0.012986843474209309,0.9543348550796509,0.9866995811462402
52,0.9991724491119385,0.006084713619202375,0.9530112743377686,0.9165612459182739
53,0.9985104203224182,0.008594929240643978,0.9549967050552368,1.1850084066390991
54,0.9988414645195007,0.012675604782998562,0.9497022032737732,1.0204988718032837
55,0.9986759424209595,0.010970762930810452,0.9503639936447144,0.9884155988693237
56,0.9988414645195007,0.007227931637316942,0.9397749900817871,1.4465664625167847
57,0.9980139136314392,0.02819785289466381,0.9523494243621826,1.0506033897399902
58,0.998344898223877,0.01136673055589199,0.9477167725563049,1.3173553943634033
59,0.9990069270133972,0.0062563358806073666,0.9510257840156555,0.9299347400665283
60,0.9980139136314392,0.02048622816801071,0.9497022032737732,1.375758409500122
61,0.9986759424209595,0.006552998907864094,0.9463931322097778,1.1285051107406616
62,0.9981794357299805,0.014147868379950523,0.9516876339912415,1.2779269218444824
63,0.9970208406448364,0.017225131392478943,0.9252150654792786,1.8936086893081665
64,0.9991724491119385,0.011201059445738792,0.9530112743377686,1.275952935218811
65,1.0,1.8376387345142575e-07,0.9503639936447144,1.249975323677063
66,0.999503493309021,0.0040283468551933765,0.9364659190177917,1.5259501934051514
67,0.9980139136314392,0.027579596266150475,0.9477167725563049,1.286913275718689
68,1.0,1.948127135165123e-07,0.9450694918632507,1.2892051935195923
69,1.0,1.548803751916239e-08,0.947054922580719,1.2921134233474731
70,1.0,4.932525499157236e-10,0.9477167725563049,1.327128291130066
71,1.0,1.5784080986680493e-10,0.9497022032737732,1.314124584197998
72,1.0,5.919030543477533e-11,0.9503639936447144,1.3319200277328491
73,1.0,5.919030543477533e-11,0.9503639936447144,1.3324755430221558
74,1.0,0.0,0.9510257840156555,1.3330875635147095
75,1.0,0.0,0.9516876339912415,1.3336403369903564
76,1.0,0.0,0.9516876339912415,1.3355170488357544
77,1.0,0.0,0.9523494243621826,1.3366972208023071
78,1.0,1.9730102968074092e-11,0.9516876339912415,1.3421680927276611
79,1.0,0.0,0.9516876339912415,1.3426920175552368
80,1.0,0.0,0.9530112743377686,1.3436800241470337
81,1.0,0.0,0.9530112743377686,1.3450075387954712
82,1.0,0.0,0.9530112743377686,1.3461917638778687
83,1.0,0.0,0.9530112743377686,1.3476297855377197
84,1.0,0.0,0.9530112743377686,1.3492275476455688
85,1.0,0.0,0.9530112743377686,1.3502882719039917
86,1.0,0.0,0.9530112743377686,1.351885437965393
87,1.0,0.0,0.9530112743377686,1.3532077074050903
88,1.0,0.0,0.9530112743377686,1.354557991027832
89,1.0,1.9730102968074092e-11,0.9530112743377686,1.359495997428894
90,1.0,0.0,0.9530112743377686,1.3608579635620117
91,1.0,0.0,0.9530112743377686,1.362500786781311
92,1.0,0.0,0.9530112743377686,1.3639774322509766
93,1.0,0.0,0.9530112743377686,1.3656476736068726
94,1.0,0.0,0.9536730647087097,1.367245078086853
95,1.0,0.0,0.9536730647087097,1.368556022644043
96,1.0,0.0,0.9536730647087097,1.3705121278762817
97,1.0,0.0,0.9543348550796509,1.372253656387329
98,1.0,0.0,0.9543348550796509,1.3739521503448486
99,1.0,0.0,0.9543348550796509,1.375598669052124
